r_id,r_pass_id,r_d_id,r_booked_time,r_status,r_start_time,r_pickup_location,r_drop_location,dist_covered_km,r_drop_location_changed,r_drop_location_changed_to,extra_dist_covered_km,total_dist_covered_km,r_drop_time,ride_fare,ride_tip,ride_cancelled_by_whom,cancellation_reason,penalty,payment_mode,payment_method,payment_mode_changed,payment_mode_changed_to,payment_status,driver_rating,r_v_id,r_shift,ride_surge_charge,coupons_alloted,coupon_used,ride_coupon_id,coupon_discount,coupon_amount,final_amount
R3015,P1374,D1693,2021-05-24 03:10:47,1,2021-05-24 03:34:40,Navlakha,New Palasia,6,N,location not changed,0,6,2021-05-24 04:31:41,30,0,NA,NA,0,online,debit card,N,same mode,pending,4.9,V1101,Mid Night,7.5,['-'],No coupon alloted,No coupon_used,0.0,0.0,37.5
R3016,P1292,D1096,2021-05-17 09:11:46,0,NA,Nipania,Geeta Bhawan,0,NA,NA,0,0,NA,0,0,Pass,Driver asked,20,NA,NA,NA,NA,NA,NA,V1507,Morning,0.0,"['C0667', 'C1014']",No coupon alloted,No coupon_used,0.0,0.0,0.0
R3017,P1651,D1276,2021-09-08 11:03:35,1,2021-09-08 11:32:18,Palasia,Nipania,20,N,location not changed,0,20,2021-09-08 11:46:46,100,50,NA,NA,0,online,credit card,N,same mode,completed,1.6,V1436,Morning,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,150.0
R3018,P1618,D1730,2021-04-09 13:13:37,0,NA,AB Road (Agra Bombay Road),New Palasia,0,NA,NA,0,0,NA,0,0,D,Bad Location,0,NA,NA,NA,NA,NA,NA,V1427,Noon,0.0,['C1051'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3019,P1756,D1377,2021-02-04 18:15:38,1,2021-02-04 18:44:19,Geeta Bhawan,Bhawarkuan,17,N,location not changed,0,17,2021-02-04 19:28:56,85,10,NA,NA,0,cash,cash,N,same mode,completed,3.0,V1599,Evening,0.0,"['C1169', 'C1273']",N,No coupon_used,0.0,0.0,95.0
R3020,P1927,D1003,2021-09-09 17:36:40,1,2021-09-09 17:54:55,South Tukoganj,Khandwa Road,14,Y,Bhawarkuan,18,32,2021-09-09 18:44:16,160,50,NA,NA,0,online,upi,N,same mode,pending,3.6,V1616,Evening,0.0,['C0619'],N,No coupon_used,0.0,0.0,210.0
R3021,P1133,D1498,2021-10-22 07:49:12,0,NA,Bengali Square,New Palasia,0,NA,NA,0,0,NA,0,0,Pass,Driver asked,20,NA,NA,NA,NA,NA,NA,V1390,Early Morning,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3022,P1577,D1586,2021-08-09 20:39:25,1,2021-08-09 21:02:20,AB Road (Agra Bombay Road),Bhawarkuan,5,N,location not changed,0,5,2021-08-09 21:48:10,25,20,NA,NA,0,cash,cash,N,same mode,completed,4.4,V1491,Night,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,45.0
R3023,P1036,D1589,2021-07-31 06:16:50,1,2021-07-31 06:38:29,Sudama Nagar,Khandwa Road,13,N,location not changed,0,13,2021-07-31 07:09:16,65,10,NA,NA,0,online,wallet,N,same mode,completed,2.2,V1688,Early Morning,16.25,"['C0904', 'C0979']",Y,C0979,20.0,13.0,78.25
R3024,P1819,D0915,2021-06-12 12:25:55,1,2021-06-12 12:51:46,Old Palasia,New Palasia,2,N,location not changed,0,2,2021-06-12 13:46:14,10,10,NA,NA,0,cash,cash,N,same mode,completed,2.8,V1553,Noon,0.0,['C0985'],Y,C0985,15.0,1.5,18.5
R3025,P2135,D1187,2021-04-09 23:17:53,0,NA,Palasia,Navlakha,0,NA,NA,0,0,NA,0,0,D,Passenger Unreachable,0,NA,NA,NA,NA,NA,NA,V1151,Night,0.0,['C1311'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3026,P2118,D1075,2021-10-29 04:15:17,0,NA,Annapurna Road,Geeta Bhawan,0,NA,NA,0,0,NA,0,0,D,Bad Location,0,NA,NA,NA,NA,NA,NA,V1294,Early Morning,0.0,"['C1092', 'C1318']",No coupon alloted,No coupon_used,0.0,0.0,0.0
R3027,P1249,D0971,2021-08-20 04:56:51,1,2021-08-20 05:20:28,Annapurna Road,Khandwa Road,17,Y,Rau,9,26,2021-08-20 05:56:35,130,0,NA,NA,0,cash,cash,N,same mode,completed,1.7,V1321,Early Morning,32.5,['C0995'],Y,C0995,20.0,26.0,136.5
R3028,P1788,D1253,2021-02-25 16:03:54,1,2021-02-25 16:32:45,Silicon City (Rau),South Tukoganj,14,Y,Bicholi Mardana],11,25,2021-02-25 17:02:55,125,0,NA,NA,0,online,debit card,N,same mode,completed,3.9,V0933,Evening,0.0,"['C1192', 'C1245']",Y,C1192,5.0,6.25,118.75
R3029,P1694,D1271,2021-01-18 14:28:56,1,2021-01-18 14:50:07,Rajendra Nagar,Geeta Bhawan,11,Y,Rajendra Nagar,6,17,2021-01-18 15:37:54,85,50,NA,NA,0,cash,cash,N,same mode,completed,1.3,V1627,Noon,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,135.0
R3030,P2036,D1375,2021-09-26 23:39:42,1,2021-09-26 23:55:36,Navlakha,Manorama Ganj,15,N,location not changed,0,15,2021-09-27 00:48:08,75,10,NA,NA,0,online,upi,N,same mode,completed,1.8,V1675,Night,0.0,"['C1191', 'C1238']",N,No coupon_used,0.0,0.0,85.0
R3031,P1798,D1692,2021-09-05 21:41:36,0,NA,AB Road (Agra Bombay Road),Old Palasia,0,NA,NA,0,0,NA,0,0,D,Bad Location,0,NA,NA,NA,NA,NA,NA,V1372,Night,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3032,P1782,D0872,2021-12-18 12:57:35,0,NA,Silicon City (Rau),Navlakha,0,NA,NA,0,0,NA,0,0,D,Bad Location,0,NA,NA,NA,NA,NA,NA,V1229,Noon,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3033,P1352,D0871,2021-06-08 19:03:07,0,NA,South Tukoganj,Geeta Bhawan,0,NA,NA,0,0,NA,0,0,Pass,Driver asking more money than the app says,20,NA,NA,NA,NA,NA,NA,V1376,Evening,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3034,P1794,D1152,2021-03-20 20:36:18,0,NA,Khandwa Road,Geeta Bhawan,0,NA,NA,0,0,NA,0,0,D,Bad Location,0,NA,NA,NA,NA,NA,NA,V0864,Night,0.0,['C1263'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3035,P1421,D1573,2021-12-13 06:10:35,1,2021-12-13 06:31:23,New Palasia,Annapurna Road,11,N,location not changed,0,11,2021-12-13 06:52:04,55,20,NA,NA,0,online,wallet,N,same mode,completed,2.5,V1301,Early Morning,13.75,['C0833'],Y,C0833,15.0,8.25,80.5
R3036,P1487,D1353,2021-08-25 00:48:37,0,NA,Vijay Nagar,Sudama Nagar,0,NA,NA,0,0,NA,0,0,D,Passenger Unreachable,0,NA,NA,NA,NA,NA,NA,V1037,Mid Night,0.0,"['C0697', 'C0994']",No coupon alloted,No coupon_used,0.0,0.0,0.0
R3037,P2126,D1474,2021-08-23 16:41:38,1,2021-08-23 17:10:18,Rajendra Nagar,Palasia,16,Y,Old Palasia,15,31,2021-08-23 17:28:58,155,10,NA,NA,0,cash,cash,N,same mode,completed,1.0,V0899,Evening,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,165.0
R3038,P1701,D0933,2021-08-19 03:44:04,1,2021-08-19 04:08:21,Silicon City (Rau),Sudama Nagar,8,N,location not changed,0,8,2021-08-19 04:41:41,40,20,NA,NA,0,cash,cash,N,same mode,completed,3.9,V0925,Mid Night,10.0,['C0777'],N,No coupon_used,0.0,0.0,70.0
R3039,P1365,D0909,2021-08-26 13:04:54,0,NA,Silicon City (Rau),Old Palasia,0,NA,NA,0,0,NA,0,0,D,Passenger Unreachable,0,NA,NA,NA,NA,NA,NA,V1554,Noon,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3040,P1271,D1051,2021-03-09 12:27:23,1,2021-03-09 12:47:03,Manorama Ganj,Scheme No. 54,4,N,location not changed,0,4,2021-03-09 13:09:34,20,50,NA,NA,0,cash,cash,N,same mode,completed,3.6,V1003,Noon,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,70.0
R3041,P1097,D0884,2021-02-02 15:50:25,0,NA,New Palasia,Rajendra Nagar,0,NA,NA,0,0,NA,0,0,Pass,No cab available,20,NA,NA,NA,NA,NA,NA,V1154,Noon,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3042,P1410,D1265,2021-06-29 03:42:35,1,2021-06-29 03:58:26,Vijay Nagar,Geeta Bhawan,16,N,location not changed,0,16,2021-06-29 04:56:47,80,10,NA,NA,0,online,credit card,N,same mode,completed,4.6,V0987,Mid Night,20.0,['C1143'],N,No coupon_used,0.0,0.0,110.0
R3043,P1148,D1423,2021-03-14 20:45:08,0,NA,Khandwa Road,Manorama Ganj,0,NA,NA,0,0,NA,0,0,Pass,Driver asking more money than the app says,20,NA,NA,NA,NA,NA,NA,V1014,Night,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3044,P1399,D1155,2021-01-24 13:23:44,1,2021-01-24 13:50:06,Sudama Nagar,Navlakha,20,Y,Rau,18,38,2021-01-24 14:34:51,190,0,NA,NA,0,online,wallet,N,same mode,completed,2.2,V0945,Noon,0.0,['C1340'],N,No coupon_used,0.0,0.0,190.0
R3045,P1797,D1007,2021-11-30 15:31:00,1,2021-11-30 15:53:36,Palasia,Bicholi Mardana],8,N,location not changed,0,8,2021-11-30 16:25:12,40,50,NA,NA,0,cash,cash,N,same mode,completed,3.6,V1342,Noon,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,90.0
R3046,P1013,D1529,2021-08-21 00:16:47,1,2021-08-21 00:33:53,Palasia,Nipania,6,N,location not changed,0,6,2021-08-21 01:30:42,30,20,NA,NA,0,online,upi,N,same mode,completed,1.6,V1127,Mid Night,7.5,['C0613'],Y,C0613,15.0,4.5,53.0
R3047,P1556,D1417,2021-06-05 14:11:23,1,2021-06-05 14:30:33,New Palasia,Bicholi Mardana],11,N,location not changed,0,11,2021-06-05 15:29:00,55,50,NA,NA,0,cash,cash,N,same mode,completed,2.3,V1648,Noon,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,105.0
R3048,P1986,D1194,2021-11-03 02:07:00,1,2021-11-03 02:22:00,Sudama Nagar,Bicholi Mardana],8,N,location not changed,0,8,2021-11-03 03:09:49,40,0,NA,NA,0,online,credit card,N,same mode,completed,3.5,V1548,Mid Night,10.0,['C0610'],Y,C0610,15.0,6.0,44.0
R3049,P2012,D1205,2021-11-23 22:17:27,1,2021-11-23 22:43:56,Bhawarkuan,Scheme No. 54,16,Y,Rajendra Nagar,2,18,2021-11-23 23:34:07,90,20,NA,NA,0,cash,cash,N,same mode,completed,2.9,V1158,Night,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,110.0
R3050,P1878,D1274,2021-07-15 08:40:29,0,NA,Annapurna Road,Khandwa Road,0,NA,NA,0,0,NA,0,0,D,Bad Location,0,NA,NA,NA,NA,NA,NA,V1175,Morning,0.0,['C1122'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3051,P1850,D0954,2021-02-23 07:53:29,0,NA,Rau,Nipania,0,NA,NA,0,0,NA,0,0,Pass,Changed Mood,20,NA,NA,NA,NA,NA,NA,V0902,Early Morning,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3052,P1836,D1008,2021-07-01 03:28:51,0,NA,Bengali Square,Navlakha,0,NA,NA,0,0,NA,0,0,Pass,No cab available,20,NA,NA,NA,NA,NA,NA,V1147,Mid Night,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3053,P2198,D1199,2021-05-16 02:53:41,1,2021-05-16 03:22:10,Old Palasia,Manorama Ganj,20,N,location not changed,0,20,2021-05-16 03:48:49,100,20,NA,NA,0,online,credit card,N,same mode,failed,4.1,V0999,Mid Night,25.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,145.0
R3054,P1571,D1481,2021-06-09 09:11:20,1,2021-06-09 09:28:00,Rau,Manorama Ganj,8,N,location not changed,0,8,2021-06-09 09:49:30,40,50,NA,NA,0,cash,cash,N,same mode,completed,3.0,V0984,Morning,0.0,['C0811'],N,No coupon_used,0.0,0.0,90.0
R3055,P1871,D1748,2021-04-25 22:18:18,0,NA,AB Road (Agra Bombay Road),New Palasia,0,NA,NA,0,0,NA,0,0,Pass,Driver asked,20,NA,NA,NA,NA,NA,NA,V1413,Night,0.0,['C1108'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3056,P1703,D1618,2021-07-23 18:03:24,1,2021-07-23 18:28:01,Sudama Nagar,Silicon City (Rau),10,N,location not changed,0,10,2021-07-23 18:39:10,50,20,NA,NA,0,cash,cash,N,same mode,completed,4.3,V1250,Evening,0.0,['C0661'],N,No coupon_used,0.0,0.0,70.0
R3057,P1113,D1367,2021-09-03 01:24:04,1,2021-09-03 01:43:06,Rajendra Nagar,Geeta Bhawan,17,N,location not changed,0,17,2021-09-03 02:35:01,85,0,NA,NA,0,online,upi,N,same mode,failed,3.5,V0906,Mid Night,21.25,['C1023'],N,No coupon_used,0.0,0.0,106.25
R3058,P1167,D1649,2021-09-11 12:33:17,0,NA,Silicon City (Rau),Manorama Ganj,0,NA,NA,0,0,NA,0,0,D,Bad Location,0,NA,NA,NA,NA,NA,NA,V1565,Noon,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3059,P1217,D1174,2021-09-07 15:01:06,1,2021-09-07 15:16:24,Old Palasia,Palasia,17,Y,AB Road (Agra Bombay Road),20,37,2021-09-07 15:46:09,185,50,NA,NA,0,online,wallet,N,same mode,completed,4.1,V1536,Noon,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,235.0
R3060,P2131,D1691,2021-12-28 08:54:05,1,2021-12-28 09:16:42,Palasia,Old Palasia,17,N,location not changed,0,17,2021-12-28 10:00:04,85,0,NA,NA,0,cash,cash,N,same mode,completed,2.9,V1236,Morning,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,85.0
R3061,P1945,D1115,2021-05-20 17:38:35,1,2021-05-20 17:55:01,Manorama Ganj,Annapurna Road,3,N,location not changed,0,3,2021-05-20 18:11:44,15,0,NA,NA,0,online,debit card,N,same mode,completed,4.6,V1051,Evening,0.0,['C0770'],N,No coupon_used,0.0,0.0,15.0
R3062,P1685,D1556,2021-03-24 17:06:24,1,2021-03-24 17:35:17,Vijay Nagar,New Palasia,19,N,location not changed,0,19,2021-03-24 18:18:02,95,0,NA,NA,0,online,upi,N,same mode,completed,1.9,V1668,Evening,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,95.0
R3063,P1066,D1277,2021-12-27 16:10:59,1,2021-12-27 16:31:32,Navlakha,Sudama Nagar,5,N,location not changed,0,5,2021-12-27 16:54:40,25,0,NA,NA,0,online,upi,N,same mode,completed,2.7,V1570,Evening,0.0,['C1279'],Y,C1279,5.0,1.25,23.75
R3064,P1008,D1530,2021-01-21 00:45:53,1,2021-01-21 01:01:42,Manorama Ganj,Annapurna Road,10,N,location not changed,0,10,2021-01-21 01:43:59,50,0,NA,NA,0,cash,cash,N,same mode,completed,3.6,V1618,Mid Night,12.5,['C1235'],N,No coupon_used,0.0,0.0,62.5
R3065,P2112,D1183,2021-07-28 11:01:11,1,2021-07-28 11:20:03,Annapurna Road,Navlakha,18,N,location not changed,0,18,2021-07-28 11:32:50,90,20,NA,NA,0,online,upi,N,same mode,completed,4.8,V1185,Morning,0.0,"['C0957', 'C1105']",N,No coupon_used,0.0,0.0,110.0
R3066,P1453,D1705,2021-08-03 00:56:20,0,NA,AB Road (Agra Bombay Road),Manorama Ganj,0,NA,NA,0,0,NA,0,0,Pass,Changed Mood,20,NA,NA,NA,NA,NA,NA,V0884,Mid Night,0.0,['C1144'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3067,P2079,D1218,2021-10-08 05:54:40,1,2021-10-08 06:10:59,Silicon City (Rau),Annapurna Road,17,Y,Manorama Ganj,3,20,2021-10-08 07:05:17,100,10,NA,NA,0,online,wallet,N,same mode,completed,2.8,V1467,Early Morning,25.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,135.0
R3068,P1912,D0993,2021-02-27 05:23:44,1,2021-02-27 05:43:37,Bengali Square,Silicon City (Rau),7,N,location not changed,0,7,2021-02-27 06:39:23,35,10,NA,NA,0,online,credit card,N,same mode,completed,3.4,V0961,Early Morning,8.75,"['C1015', 'C1243']",N,No coupon_used,0.0,0.0,53.75
R3069,P1867,D1510,2021-09-02 14:44:11,1,2021-09-02 15:14:11,Vijay Nagar,AB Road (Agra Bombay Road),20,Y,Rau,15,35,2021-09-02 15:49:40,175,0,NA,NA,0,cash,cash,Y,online,completed,4.9,V1719,Noon,0.0,['C0643'],N,No coupon_used,0.0,0.0,175.0
R3070,P1768,D1119,2021-06-06 00:22:53,1,2021-06-06 00:42:03,South Tukoganj,Vijay Nagar,11,N,location not changed,0,11,2021-06-06 00:59:55,55,0,NA,NA,0,online,credit card,N,same mode,completed,2.2,V1459,Mid Night,13.75,['-'],No coupon alloted,No coupon_used,0.0,0.0,68.75
R3071,P1271,D1149,2021-03-14 07:40:49,1,2021-03-14 08:10:33,Sudama Nagar,AB Road (Agra Bombay Road),19,N,location not changed,0,19,2021-03-14 09:01:36,95,20,NA,NA,0,cash,cash,Y,online,completed,2.0,V0910,Early Morning,23.75,['-'],No coupon alloted,No coupon_used,0.0,0.0,138.75
R3072,P1682,D0912,2021-04-19 19:01:31,0,NA,Scheme No. 54,Bicholi Mardana],0,NA,NA,0,0,NA,0,0,D,Passenger Unreachable,0,NA,NA,NA,NA,NA,NA,V0982,Evening,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3073,P1521,D1476,2021-08-02 03:31:38,0,NA,Palasia,Geeta Bhawan,0,NA,NA,0,0,NA,0,0,Pass,Driver asked,20,NA,NA,NA,NA,NA,NA,V1212,Mid Night,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3074,P1665,D1622,2021-01-29 12:44:49,1,2021-01-29 13:07:28,Navlakha,Vijay Nagar,17,N,location not changed,0,17,2021-01-29 13:52:42,85,20,NA,NA,0,cash,cash,N,same mode,completed,4.2,V1624,Noon,0.0,['C0707'],N,No coupon_used,0.0,0.0,105.0
R3075,P1488,D0851,2021-07-07 12:19:27,1,2021-07-07 12:44:54,Manorama Ganj,Rau,10,N,location not changed,0,10,2021-07-07 13:16:26,50,50,NA,NA,0,cash,cash,N,same mode,completed,4.5,V1735,Noon,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,100.0
R3076,P1378,D1398,2021-08-06 04:55:30,0,NA,Sudama Nagar,Bhawarkuan,0,NA,NA,0,0,NA,0,0,Pass,Driver asking more money than the app says,20,NA,NA,NA,NA,NA,NA,V1540,Early Morning,0.0,['C1337'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3077,P1169,D0855,2021-03-03 00:56:38,1,2021-03-03 01:22:17,AB Road (Agra Bombay Road),Sudama Nagar,10,N,location not changed,0,10,2021-03-03 02:21:44,50,50,NA,NA,0,online,credit card,Y,cash,completed,4.2,V1481,Mid Night,12.5,['-'],No coupon alloted,No coupon_used,0.0,0.0,112.5
R3078,P1404,D0906,2021-04-03 00:46:17,0,NA,Silicon City (Rau),Vijay Nagar,0,NA,NA,0,0,NA,0,0,D,Passenger Unreachable,0,NA,NA,NA,NA,NA,NA,V1604,Mid Night,0.0,['C0758'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3079,P1409,D1563,2021-06-27 22:29:53,1,2021-06-27 22:55:29,Geeta Bhawan,South Tukoganj,19,N,location not changed,0,19,2021-06-27 23:22:21,95,10,NA,NA,0,cash,cash,N,same mode,completed,3.4,V1338,Night,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,105.0
R3080,P1788,D1359,2021-06-13 09:16:50,1,2021-06-13 09:39:07,Old Palasia,Geeta Bhawan,17,Y,Vijay Nagar,11,28,2021-06-13 10:19:19,140,20,NA,NA,0,cash,cash,N,same mode,completed,3.4,V0876,Morning,0.0,"['C1192', 'C1245']",Y,C1245,15.0,21.0,139.0
R3081,P2061,D1154,2021-04-02 06:16:14,1,2021-04-02 06:33:09,Silicon City (Rau),Annapurna Road,19,N,location not changed,0,19,2021-04-02 06:59:13,95,0,NA,NA,0,online,debit card,N,same mode,completed,4.5,V1066,Early Morning,23.75,['-'],No coupon alloted,No coupon_used,0.0,0.0,118.75
R3082,P1090,D1278,2021-01-21 23:08:21,1,2021-01-21 23:24:56,AB Road (Agra Bombay Road),Rajendra Nagar,14,Y,Annapurna Road,9,23,2021-01-21 23:55:02,115,50,NA,NA,0,online,credit card,N,same mode,completed,2.4,V1145,Night,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,165.0
R3083,P1755,D1258,2021-04-30 08:21:11,1,2021-04-30 08:41:48,Rajendra Nagar,New Palasia,6,Y,Navlakha,14,20,2021-04-30 09:24:33,100,50,NA,NA,0,online,credit card,N,same mode,completed,1.5,V1509,Morning,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,150.0
R3084,P1526,D1038,2021-05-21 17:31:39,1,2021-05-21 18:00:12,AB Road (Agra Bombay Road),Old Palasia,19,Y,Sudama Nagar,15,34,2021-05-21 18:48:19,170,10,NA,NA,0,cash,cash,Y,online,completed,1.8,V1728,Evening,0.0,['C1212'],N,No coupon_used,0.0,0.0,180.0
R3085,P1828,D1064,2021-01-10 22:00:35,1,2021-01-10 22:21:13,Sudama Nagar,Palasia,8,Y,Scheme No. 54,16,24,2021-01-10 22:45:21,120,0,NA,NA,0,online,debit card,Y,cash,failed,2.0,V1684,Night,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,120.0
R3086,P2125,D1324,2021-06-05 06:57:04,1,2021-06-05 07:19:02,Bicholi Mardana],Annapurna Road,11,N,location not changed,0,11,2021-06-05 07:37:09,55,10,NA,NA,0,cash,cash,Y,online,completed,1.1,V1029,Early Morning,13.75,['-'],No coupon alloted,No coupon_used,0.0,0.0,78.75
R3087,P1972,D1491,2021-11-07 02:19:26,0,NA,Silicon City (Rau),Annapurna Road,0,NA,NA,0,0,NA,0,0,D,Passenger Unreachable,0,NA,NA,NA,NA,NA,NA,V1031,Mid Night,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3088,P1299,D1174,2021-06-18 22:25:39,1,2021-06-18 22:46:16,New Palasia,Bhawarkuan,20,N,location not changed,0,20,2021-06-18 22:56:54,100,0,NA,NA,0,online,upi,N,same mode,completed,4.8,V1536,Night,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,100.0
