r_id,feedback_id,v_id,v_type,questions,answers
R3026,F0626,V0859,Auto,rate the cleanliness of your cab,4
R3026,F0626,V0859,Auto,how was the drivers behavior,2
R3028,F0628,V0976,Auto,rate the cleanliness of your cab,3
R3028,F0628,V0976,Auto,how was the drivers behavior,3
R3031,F0631,V1585,Auto,rate the cleanliness of your cab,4
R3031,F0631,V1585,Auto,how was the drivers behavior,1
R3032,F0632,V1320,Auto,rate the cleanliness of your cab,1
R3032,F0632,V1320,Auto,how was the drivers behavior,4
R3033,F0633,V1287,Four wheeler,rate the cleanliness of your cab,4
R3033,F0633,V1287,Four wheeler,how was the drivers behavior,1
R3034,F0634,V1085,Bike,rate the use of helmet of your driver,1
R3034,F0634,V1085,Bike,rate the friendliness of your driver,1
R3035,F0635,V1223,Auto,rate the cleanliness of your cab,3
R3035,F0635,V1223,Auto,how was the drivers behavior,1
R3036,F0636,V0922,Auto,rate the cleanliness of your cab,4
R3036,F0636,V0922,Auto,how was the drivers behavior,2
R3038,F0638,V1650,Auto,rate the cleanliness of your cab,2
R3038,F0638,V1650,Auto,how was the drivers behavior,4
R3039,F0639,V1250,Bike,rate the use of helmet of your driver,4
R3039,F0639,V1250,Bike,rate the friendliness of your driver,1
R3040,F0640,V1286,Auto,rate the cleanliness of your cab,1
R3040,F0640,V1286,Auto,how was the drivers behavior,4
R3041,F0641,V0933,Auto,rate the cleanliness of your cab,2
R3041,F0641,V0933,Auto,how was the drivers behavior,2
R3042,F0642,V1530,Auto,rate the cleanliness of your cab,2
R3042,F0642,V1530,Auto,how was the drivers behavior,3
R3044,F0644,V1508,Bike,rate the use of helmet of your driver,4
R3044,F0644,V1508,Bike,rate the friendliness of your driver,3
R3045,F0645,V1299,Bike,rate the use of helmet of your driver,1
R3045,F0645,V1299,Bike,rate the friendliness of your driver,1
R3046,F0646,V1498,Four wheeler,rate the cleanliness of your cab,3
R3046,F0646,V1498,Four wheeler,how was the drivers behavior,3
R3048,F0648,V1738,Bike,rate the use of helmet of your driver,4
R3048,F0648,V1738,Bike,rate the friendliness of your driver,4
R3050,F0650,V1358,Auto,rate the cleanliness of your cab,1
R3050,F0650,V1358,Auto,how was the drivers behavior,4
R3052,F0652,V1378,Auto,rate the cleanliness of your cab,4
R3052,F0652,V1378,Auto,how was the drivers behavior,2
R3053,F0653,V1404,Auto,rate the cleanliness of your cab,3
R3053,F0653,V1404,Auto,how was the drivers behavior,4
R3054,F0654,V0965,Auto,rate the cleanliness of your cab,2
R3054,F0654,V0965,Auto,how was the drivers behavior,3
R3056,F0656,V0900,Auto,rate the cleanliness of your cab,4
R3056,F0656,V0900,Auto,how was the drivers behavior,1
R3057,F0657,V1503,Auto,rate the cleanliness of your cab,3
R3057,F0657,V1503,Auto,how was the drivers behavior,1
R3058,F0658,V1564,Auto,rate the cleanliness of your cab,4
R3058,F0658,V1564,Auto,how was the drivers behavior,1
R3061,F0661,V1263,Bike,rate the use of helmet of your driver,3
R3061,F0661,V1263,Bike,rate the friendliness of your driver,2
R3062,F0662,V0925,Auto,rate the cleanliness of your cab,2
R3062,F0662,V0925,Auto,how was the drivers behavior,1
R3063,F0663,V1126,Auto,rate the cleanliness of your cab,2
R3063,F0663,V1126,Auto,how was the drivers behavior,1
R3064,F0664,V1729,Four wheeler,rate the cleanliness of your cab,2
R3064,F0664,V1729,Four wheeler,how was the drivers behavior,2
R3066,F0666,V1617,Four wheeler,rate the cleanliness of your cab,4
R3066,F0666,V1617,Four wheeler,how was the drivers behavior,3
R3067,F0667,V0905,Four wheeler,rate the cleanliness of your cab,1
R3067,F0667,V0905,Four wheeler,how was the drivers behavior,4
R3069,F0669,V1720,Auto,rate the cleanliness of your cab,1
R3069,F0669,V1720,Auto,how was the drivers behavior,1
R3070,F0670,V1398,Auto,rate the cleanliness of your cab,2
R3070,F0670,V1398,Auto,how was the drivers behavior,2
R3071,F0671,V1144,Auto,rate the cleanliness of your cab,2
R3071,F0671,V1144,Auto,how was the drivers behavior,2
R3074,F0674,V0865,Four wheeler,rate the cleanliness of your cab,3
R3074,F0674,V0865,Four wheeler,how was the drivers behavior,1
R3075,F0675,V1351,Auto,rate the cleanliness of your cab,4
R3075,F0675,V1351,Auto,how was the drivers behavior,2
R3076,F0676,V1329,Auto,rate the cleanliness of your cab,3
R3076,F0676,V1329,Auto,how was the drivers behavior,2
R3077,F0677,V1661,Auto,rate the cleanliness of your cab,4
R3077,F0677,V1661,Auto,how was the drivers behavior,4
R3078,F0678,V1078,Bike,rate the use of helmet of your driver,1
R3078,F0678,V1078,Bike,rate the friendliness of your driver,4
R3080,F0680,V1186,Bike,rate the use of helmet of your driver,1
R3080,F0680,V1186,Bike,rate the friendliness of your driver,3
R3085,F0685,V1071,Bike,rate the use of helmet of your driver,2
R3085,F0685,V1071,Bike,rate the friendliness of your driver,3
R3087,F0687,V1045,Auto,rate the cleanliness of your cab,1
R3087,F0687,V1045,Auto,how was the drivers behavior,4
R3088,F0688,V1516,Four wheeler,rate the cleanliness of your cab,2
R3088,F0688,V1516,Four wheeler,how was the drivers behavior,3
R3089,F0689,V1151,Bike,rate the use of helmet of your driver,3
R3089,F0689,V1151,Bike,rate the friendliness of your driver,2
R3090,F0690,V0883,Bike,rate the use of helmet of your driver,3
R3090,F0690,V0883,Bike,rate the friendliness of your driver,1
R3091,F0691,V1391,Four wheeler,rate the cleanliness of your cab,3
R3091,F0691,V1391,Four wheeler,how was the drivers behavior,1
R3092,F0692,V1179,Bike,rate the use of helmet of your driver,1
R3092,F0692,V1179,Bike,rate the friendliness of your driver,2
R3093,F0693,V1631,Auto,rate the cleanliness of your cab,4
R3093,F0693,V1631,Auto,how was the drivers behavior,3
R3095,F0695,V1698,Bike,rate the use of helmet of your driver,2
R3095,F0695,V1698,Bike,rate the friendliness of your driver,1
R3096,F0696,V1421,Bike,rate the use of helmet of your driver,2
R3096,F0696,V1421,Bike,rate the friendliness of your driver,4
R3098,F0698,V0973,Auto,rate the cleanliness of your cab,2
R3098,F0698,V0973,Auto,how was the drivers behavior,4
R3100,F0700,V1699,Auto,rate the cleanliness of your cab,1
R3100,F0700,V1699,Auto,how was the drivers behavior,4
R3101,F0701,V1257,Bike,rate the use of helmet of your driver,3
R3101,F0701,V1257,Bike,rate the friendliness of your driver,1
R3102,F0702,V1072,Bike,rate the use of helmet of your driver,3
R3102,F0702,V1072,Bike,rate the friendliness of your driver,4
R3103,F0703,V1143,Auto,rate the cleanliness of your cab,3
R3103,F0703,V1143,Auto,how was the drivers behavior,1
R3105,F0705,V1601,Auto,rate the cleanliness of your cab,4
R3105,F0705,V1601,Auto,how was the drivers behavior,3
R3107,F0707,V1545,Auto,rate the cleanliness of your cab,3
R3107,F0707,V1545,Auto,how was the drivers behavior,3
R3108,F0708,V0914,Bike,rate the use of helmet of your driver,4
R3108,F0708,V0914,Bike,rate the friendliness of your driver,4
R3110,F0710,V0957,Four wheeler,rate the cleanliness of your cab,3
R3110,F0710,V0957,Four wheeler,how was the drivers behavior,1
R3112,F0712,V1312,Auto,rate the cleanliness of your cab,3
R3112,F0712,V1312,Auto,how was the drivers behavior,1
R3113,F0713,V1092,Four wheeler,rate the cleanliness of your cab,3
R3113,F0713,V1092,Four wheeler,how was the drivers behavior,4
R3114,F0714,V1290,Auto,rate the cleanliness of your cab,2
R3114,F0714,V1290,Auto,how was the drivers behavior,3
R3115,F0715,V1109,Four wheeler,rate the cleanliness of your cab,3
R3115,F0715,V1109,Four wheeler,how was the drivers behavior,1
R3117,F0717,V1450,Four wheeler,rate the cleanliness of your cab,1
R3117,F0717,V1450,Four wheeler,how was the drivers behavior,1
R3118,F0718,V0954,Four wheeler,rate the cleanliness of your cab,2
R3118,F0718,V0954,Four wheeler,how was the drivers behavior,1
R3119,F0719,V1325,Auto,rate the cleanliness of your cab,2
R3119,F0719,V1325,Auto,how was the drivers behavior,3
R3120,F0720,V0901,Auto,rate the cleanliness of your cab,1
R3120,F0720,V0901,Auto,how was the drivers behavior,1
R3121,F0721,V1050,Four wheeler,rate the cleanliness of your cab,1
R3121,F0721,V1050,Four wheeler,how was the drivers behavior,4
R3122,F0722,V1067,Auto,rate the cleanliness of your cab,2
R3122,F0722,V1067,Auto,how was the drivers behavior,3
R3123,F0723,V1532,Auto,rate the cleanliness of your cab,1
R3123,F0723,V1532,Auto,how was the drivers behavior,4
R3125,F0725,V1293,Auto,rate the cleanliness of your cab,1
R3125,F0725,V1293,Auto,how was the drivers behavior,3
R3126,F0726,V1154,Four wheeler,rate the cleanliness of your cab,3
R3126,F0726,V1154,Four wheeler,how was the drivers behavior,3
R3127,F0727,V1521,Auto,rate the cleanliness of your cab,1
R3127,F0727,V1521,Auto,how was the drivers behavior,3
R3128,F0728,V1128,Bike,rate the use of helmet of your driver,1
R3128,F0728,V1128,Bike,rate the friendliness of your driver,1
R3129,F0729,V1374,Auto,rate the cleanliness of your cab,3
R3129,F0729,V1374,Auto,how was the drivers behavior,3
R3131,F0731,V0984,Bike,rate the use of helmet of your driver,4
R3131,F0731,V0984,Bike,rate the friendliness of your driver,2
R3133,F0733,V1526,Auto,rate the cleanliness of your cab,4
R3133,F0733,V1526,Auto,how was the drivers behavior,3
R3134,F0734,V1017,Auto,rate the cleanliness of your cab,4
R3134,F0734,V1017,Auto,how was the drivers behavior,2
R3136,F0736,V1703,Four wheeler,rate the cleanliness of your cab,1
R3136,F0736,V1703,Four wheeler,how was the drivers behavior,2
R3141,F0741,V1329,Auto,rate the cleanliness of your cab,1
R3141,F0741,V1329,Auto,how was the drivers behavior,2
R3142,F0742,V1529,Auto,rate the cleanliness of your cab,4
R3142,F0742,V1529,Auto,how was the drivers behavior,3
R3143,F0743,V1475,Auto,rate the cleanliness of your cab,2
R3143,F0743,V1475,Auto,how was the drivers behavior,2
R3144,F0744,V1007,Auto,rate the cleanliness of your cab,1
R3144,F0744,V1007,Auto,how was the drivers behavior,1
R3145,F0745,V1543,Bike,rate the use of helmet of your driver,1
R3145,F0745,V1543,Bike,rate the friendliness of your driver,2
R3146,F0746,V1155,Four wheeler,rate the cleanliness of your cab,2
R3146,F0746,V1155,Four wheeler,how was the drivers behavior,2
R3147,F0747,V1462,Auto,rate the cleanliness of your cab,2
R3147,F0747,V1462,Auto,how was the drivers behavior,1
R3148,F0748,V1522,Four wheeler,rate the cleanliness of your cab,3
R3148,F0748,V1522,Four wheeler,how was the drivers behavior,4
R3150,F0750,V0865,Four wheeler,rate the cleanliness of your cab,2
R3150,F0750,V0865,Four wheeler,how was the drivers behavior,4
R3151,F0751,V0888,Auto,rate the cleanliness of your cab,2
R3151,F0751,V0888,Auto,how was the drivers behavior,1
R3152,F0752,V1638,Auto,rate the cleanliness of your cab,1
R3152,F0752,V1638,Auto,how was the drivers behavior,4
R3153,F0753,V1443,Four wheeler,rate the cleanliness of your cab,4
R3153,F0753,V1443,Four wheeler,how was the drivers behavior,4
R3154,F0754,V0919,Auto,rate the cleanliness of your cab,1
R3154,F0754,V0919,Auto,how was the drivers behavior,2
R3155,F0755,V1579,Bike,rate the use of helmet of your driver,2
R3155,F0755,V1579,Bike,rate the friendliness of your driver,1
R3156,F0756,V1698,Bike,rate the use of helmet of your driver,3
R3156,F0756,V1698,Bike,rate the friendliness of your driver,4
R3158,F0758,V1342,Auto,rate the cleanliness of your cab,2
R3158,F0758,V1342,Auto,how was the drivers behavior,2
R3159,F0759,V1741,Auto,rate the cleanliness of your cab,1
R3159,F0759,V1741,Auto,how was the drivers behavior,1
R3160,F0760,V1153,Auto,rate the cleanliness of your cab,3
R3160,F0760,V1153,Auto,how was the drivers behavior,2
R3161,F0761,V1031,Bike,rate the use of helmet of your driver,2
R3161,F0761,V1031,Bike,rate the friendliness of your driver,2
R3162,F0762,V1038,Bike,rate the use of helmet of your driver,2
R3162,F0762,V1038,Bike,rate the friendliness of your driver,4
R3163,F0763,V1509,Four wheeler,rate the cleanliness of your cab,1
R3163,F0763,V1509,Four wheeler,how was the drivers behavior,2
R3164,F0764,V1697,Auto,rate the cleanliness of your cab,2
R3164,F0764,V1697,Auto,how was the drivers behavior,3
R3165,F0765,V1052,Auto,rate the cleanliness of your cab,2
R3165,F0765,V1052,Auto,how was the drivers behavior,4
R3166,F0766,V1345,Four wheeler,rate the cleanliness of your cab,1
R3166,F0766,V1345,Four wheeler,how was the drivers behavior,4
R3167,F0767,V1477,Auto,rate the cleanliness of your cab,3
R3167,F0767,V1477,Auto,how was the drivers behavior,3
R3168,F0768,V1574,Bike,rate the use of helmet of your driver,3
R3168,F0768,V1574,Bike,rate the friendliness of your driver,1
R3169,F0769,V1478,Four wheeler,rate the cleanliness of your cab,1
R3169,F0769,V1478,Four wheeler,how was the drivers behavior,1
R3170,F0770,V1312,Auto,rate the cleanliness of your cab,2
R3170,F0770,V1312,Auto,how was the drivers behavior,3
R3171,F0771,V1373,Auto,rate the cleanliness of your cab,2
R3171,F0771,V1373,Auto,how was the drivers behavior,1
R3172,F0772,V1484,Four wheeler,rate the cleanliness of your cab,3
R3172,F0772,V1484,Four wheeler,how was the drivers behavior,4
R3173,F0773,V1710,Auto,rate the cleanliness of your cab,2
R3173,F0773,V1710,Auto,how was the drivers behavior,1
R3174,F0774,V1199,Auto,rate the cleanliness of your cab,2
R3174,F0774,V1199,Auto,how was the drivers behavior,4
R3175,F0775,V0855,Auto,rate the cleanliness of your cab,2
R3175,F0775,V0855,Auto,how was the drivers behavior,1
R3176,F0776,V1561,Auto,rate the cleanliness of your cab,1
R3176,F0776,V1561,Auto,how was the drivers behavior,3
R3177,F0777,V1572,Auto,rate the cleanliness of your cab,3
R3177,F0777,V1572,Auto,how was the drivers behavior,1
R3178,F0778,V0981,Four wheeler,rate the cleanliness of your cab,3
R3178,F0778,V0981,Four wheeler,how was the drivers behavior,4
R3180,F0780,V1227,Four wheeler,rate the cleanliness of your cab,3
R3180,F0780,V1227,Four wheeler,how was the drivers behavior,2
R3183,F0783,V1152,Four wheeler,rate the cleanliness of your cab,4
R3183,F0783,V1152,Four wheeler,how was the drivers behavior,2
R3184,F0784,V1664,Four wheeler,rate the cleanliness of your cab,3
R3184,F0784,V1664,Four wheeler,how was the drivers behavior,2
R3185,F0785,V1595,Four wheeler,rate the cleanliness of your cab,2
R3185,F0785,V1595,Four wheeler,how was the drivers behavior,3
R3187,F0787,V1313,Four wheeler,rate the cleanliness of your cab,3
R3187,F0787,V1313,Four wheeler,how was the drivers behavior,3
R3188,F0788,V0945,Four wheeler,rate the cleanliness of your cab,3
R3188,F0788,V0945,Four wheeler,how was the drivers behavior,1
R3189,F0789,V1543,Bike,rate the use of helmet of your driver,2
R3189,F0789,V1543,Bike,rate the friendliness of your driver,4
R3190,F0790,V1380,Auto,rate the cleanliness of your cab,2
R3190,F0790,V1380,Auto,how was the drivers behavior,2
R3191,F0791,V1418,Four wheeler,rate the cleanliness of your cab,1
R3191,F0791,V1418,Four wheeler,how was the drivers behavior,4
R3192,F0792,V1417,Auto,rate the cleanliness of your cab,4
R3192,F0792,V1417,Auto,how was the drivers behavior,1
R3193,F0793,V1527,Bike,rate the use of helmet of your driver,4
R3193,F0793,V1527,Bike,rate the friendliness of your driver,4
R3194,F0794,V0895,Auto,rate the cleanliness of your cab,2
R3194,F0794,V0895,Auto,how was the drivers behavior,1
R3196,F0796,V1243,Auto,rate the cleanliness of your cab,3
R3196,F0796,V1243,Auto,how was the drivers behavior,3
R3197,F0797,V0915,Bike,rate the use of helmet of your driver,2
R3197,F0797,V0915,Bike,rate the friendliness of your driver,1
R3198,F0798,V1363,Auto,rate the cleanliness of your cab,2
R3198,F0798,V1363,Auto,how was the drivers behavior,2
R3200,F0800,V1621,Auto,rate the cleanliness of your cab,3
R3200,F0800,V1621,Auto,how was the drivers behavior,4
R3201,F0801,V1584,Auto,rate the cleanliness of your cab,1
R3201,F0801,V1584,Auto,how was the drivers behavior,3
R3202,F0802,V1095,Four wheeler,rate the cleanliness of your cab,2
R3202,F0802,V1095,Four wheeler,how was the drivers behavior,2
R3205,F0805,V1260,Auto,rate the cleanliness of your cab,4
R3205,F0805,V1260,Auto,how was the drivers behavior,3
R3207,F0807,V1675,Auto,rate the cleanliness of your cab,2
R3207,F0807,V1675,Auto,how was the drivers behavior,4
R3209,F0809,V1645,Auto,rate the cleanliness of your cab,3
R3209,F0809,V1645,Auto,how was the drivers behavior,1
R3213,F0813,V1069,Auto,rate the cleanliness of your cab,4
R3213,F0813,V1069,Auto,how was the drivers behavior,4
R3214,F0814,V1440,Auto,rate the cleanliness of your cab,2
R3214,F0814,V1440,Auto,how was the drivers behavior,1
R3215,F0815,V1172,Auto,rate the cleanliness of your cab,1
R3215,F0815,V1172,Auto,how was the drivers behavior,2
R3218,F0818,V1137,Auto,rate the cleanliness of your cab,2
R3218,F0818,V1137,Auto,how was the drivers behavior,3
R3219,F0819,V1405,Auto,rate the cleanliness of your cab,3
R3219,F0819,V1405,Auto,how was the drivers behavior,3
R3220,F0820,V1337,Auto,rate the cleanliness of your cab,1
R3220,F0820,V1337,Auto,how was the drivers behavior,1
R3221,F0821,V1471,Auto,rate the cleanliness of your cab,3
R3221,F0821,V1471,Auto,how was the drivers behavior,3
R3222,F0822,V1191,Auto,rate the cleanliness of your cab,3
R3222,F0822,V1191,Auto,how was the drivers behavior,4
R3223,F0823,V1324,Bike,rate the use of helmet of your driver,2
R3223,F0823,V1324,Bike,rate the friendliness of your driver,4
R3224,F0824,V0942,Auto,rate the cleanliness of your cab,3
R3224,F0824,V0942,Auto,how was the drivers behavior,4
R3225,F0825,V1162,Four wheeler,rate the cleanliness of your cab,1
R3225,F0825,V1162,Four wheeler,how was the drivers behavior,1
R3226,F0826,V1083,Four wheeler,rate the cleanliness of your cab,1
R3226,F0826,V1083,Four wheeler,how was the drivers behavior,2
R3229,F0829,V1601,Auto,rate the cleanliness of your cab,1
R3229,F0829,V1601,Auto,how was the drivers behavior,4
R3230,F0830,V1251,Auto,rate the cleanliness of your cab,3
R3230,F0830,V1251,Auto,how was the drivers behavior,2
R3231,F0831,V1234,Auto,rate the cleanliness of your cab,4
R3231,F0831,V1234,Auto,how was the drivers behavior,3
R3232,F0832,V1370,Auto,rate the cleanliness of your cab,1
R3232,F0832,V1370,Auto,how was the drivers behavior,1
R3233,F0833,V1298,Auto,rate the cleanliness of your cab,1
R3233,F0833,V1298,Auto,how was the drivers behavior,2
R3234,F0834,V1256,Bike,rate the use of helmet of your driver,4
R3234,F0834,V1256,Bike,rate the friendliness of your driver,4
R3236,F0836,V1424,Bike,rate the use of helmet of your driver,3
R3236,F0836,V1424,Bike,rate the friendliness of your driver,3
R3237,F0837,V1299,Bike,rate the use of helmet of your driver,1
R3237,F0837,V1299,Bike,rate the friendliness of your driver,1
R3238,F0838,V1404,Auto,rate the cleanliness of your cab,4
R3238,F0838,V1404,Auto,how was the drivers behavior,2
R3239,F0839,V1052,Auto,rate the cleanliness of your cab,2
R3239,F0839,V1052,Auto,how was the drivers behavior,4
R3241,F0841,V0870,Bike,rate the use of helmet of your driver,4
R3241,F0841,V0870,Bike,rate the friendliness of your driver,3
R3242,F0842,V1268,Bike,rate the use of helmet of your driver,4
R3242,F0842,V1268,Bike,rate the friendliness of your driver,2
R3243,F0843,V0935,Auto,rate the cleanliness of your cab,2
R3243,F0843,V0935,Auto,how was the drivers behavior,2
R3244,F0844,V1220,Auto,rate the cleanliness of your cab,4
R3244,F0844,V1220,Auto,how was the drivers behavior,1
R3245,F0845,V0926,Four wheeler,rate the cleanliness of your cab,4
R3245,F0845,V0926,Four wheeler,how was the drivers behavior,4
R3246,F0846,V1544,Auto,rate the cleanliness of your cab,3
R3246,F0846,V1544,Auto,how was the drivers behavior,4
R3247,F0847,V1410,Bike,rate the use of helmet of your driver,1
R3247,F0847,V1410,Bike,rate the friendliness of your driver,4
R3248,F0848,V0930,Auto,rate the cleanliness of your cab,3
R3248,F0848,V0930,Auto,how was the drivers behavior,2
R3249,F0849,V1232,Four wheeler,rate the cleanliness of your cab,1
R3249,F0849,V1232,Four wheeler,how was the drivers behavior,1
R3250,F0850,V0988,Bike,rate the use of helmet of your driver,2
R3250,F0850,V0988,Bike,rate the friendliness of your driver,2
R3253,F0853,V0896,Auto,rate the cleanliness of your cab,2
R3253,F0853,V0896,Auto,how was the drivers behavior,3
R3256,F0856,V1043,Four wheeler,rate the cleanliness of your cab,1
R3256,F0856,V1043,Four wheeler,how was the drivers behavior,1
R3257,F0857,V1656,Four wheeler,rate the cleanliness of your cab,2
R3257,F0857,V1656,Four wheeler,how was the drivers behavior,4
R3258,F0858,V1336,Bike,rate the use of helmet of your driver,3
R3258,F0858,V1336,Bike,rate the friendliness of your driver,2
R3259,F0859,V1346,Auto,rate the cleanliness of your cab,4
R3259,F0859,V1346,Auto,how was the drivers behavior,1
R3260,F0860,V1293,Auto,rate the cleanliness of your cab,3
R3260,F0860,V1293,Auto,how was the drivers behavior,3
R3261,F0861,V1088,Auto,rate the cleanliness of your cab,1
R3261,F0861,V1088,Auto,how was the drivers behavior,1
R3262,F0862,V0941,Four wheeler,rate the cleanliness of your cab,1
R3262,F0862,V0941,Four wheeler,how was the drivers behavior,2
R3263,F0863,V0863,Four wheeler,rate the cleanliness of your cab,4
R3263,F0863,V0863,Four wheeler,how was the drivers behavior,4
R3264,F0864,V1257,Bike,rate the use of helmet of your driver,2
R3264,F0864,V1257,Bike,rate the friendliness of your driver,4
R3265,F0865,V1336,Bike,rate the use of helmet of your driver,3
R3265,F0865,V1336,Bike,rate the friendliness of your driver,2
R3266,F0866,V1571,Auto,rate the cleanliness of your cab,1
R3266,F0866,V1571,Auto,how was the drivers behavior,3
R3267,F0867,V1617,Four wheeler,rate the cleanliness of your cab,1
R3267,F0867,V1617,Four wheeler,how was the drivers behavior,3
R3268,F0868,V1530,Auto,rate the cleanliness of your cab,1
R3268,F0868,V1530,Auto,how was the drivers behavior,3
R3269,F0869,V0970,Auto,rate the cleanliness of your cab,1
R3269,F0869,V0970,Auto,how was the drivers behavior,1
R3271,F0871,V1722,Auto,rate the cleanliness of your cab,3
R3271,F0871,V1722,Auto,how was the drivers behavior,4
R3272,F0872,V1317,Four wheeler,rate the cleanliness of your cab,4
R3272,F0872,V1317,Four wheeler,how was the drivers behavior,4
R3273,F0873,V1652,Four wheeler,rate the cleanliness of your cab,1
R3273,F0873,V1652,Four wheeler,how was the drivers behavior,2
R3275,F0875,V1561,Auto,rate the cleanliness of your cab,1
R3275,F0875,V1561,Auto,how was the drivers behavior,1
R3276,F0876,V1474,Four wheeler,rate the cleanliness of your cab,1
R3276,F0876,V1474,Four wheeler,how was the drivers behavior,2
R3278,F0878,V1120,Four wheeler,rate the cleanliness of your cab,1
R3278,F0878,V1120,Four wheeler,how was the drivers behavior,2
R3280,F0880,V1223,Auto,rate the cleanliness of your cab,2
R3280,F0880,V1223,Auto,how was the drivers behavior,3
R3282,F0882,V1057,Auto,rate the cleanliness of your cab,4
R3282,F0882,V1057,Auto,how was the drivers behavior,3
R3285,F0885,V1324,Bike,rate the use of helmet of your driver,2
R3285,F0885,V1324,Bike,rate the friendliness of your driver,1
R3286,F0886,V1462,Auto,rate the cleanliness of your cab,1
R3286,F0886,V1462,Auto,how was the drivers behavior,3
R3287,F0887,V0954,Four wheeler,rate the cleanliness of your cab,4
R3287,F0887,V0954,Four wheeler,how was the drivers behavior,1
R3288,F0888,V1066,Bike,rate the use of helmet of your driver,1
R3288,F0888,V1066,Bike,rate the friendliness of your driver,1
R3290,F0890,V1124,Auto,rate the cleanliness of your cab,1
R3290,F0890,V1124,Auto,how was the drivers behavior,1
R3293,F0893,V1537,Auto,rate the cleanliness of your cab,2
R3293,F0893,V1537,Auto,how was the drivers behavior,4
R3294,F0894,V1577,Bike,rate the use of helmet of your driver,3
R3294,F0894,V1577,Bike,rate the friendliness of your driver,1
R3295,F0895,V1590,Four wheeler,rate the cleanliness of your cab,2
R3295,F0895,V1590,Four wheeler,how was the drivers behavior,3
R3296,F0896,V1438,Auto,rate the cleanliness of your cab,3
R3296,F0896,V1438,Auto,how was the drivers behavior,3
R3297,F0897,V1028,Auto,rate the cleanliness of your cab,2
R3297,F0897,V1028,Auto,how was the drivers behavior,1
R3299,F0899,V1255,Bike,rate the use of helmet of your driver,2
R3299,F0899,V1255,Bike,rate the friendliness of your driver,2
R3301,F0901,V1402,Auto,rate the cleanliness of your cab,3
R3301,F0901,V1402,Auto,how was the drivers behavior,3
R3303,F0903,V1456,Four wheeler,rate the cleanliness of your cab,4
R3303,F0903,V1456,Four wheeler,how was the drivers behavior,1
R3305,F0905,V1639,Four wheeler,rate the cleanliness of your cab,2
R3305,F0905,V1639,Four wheeler,how was the drivers behavior,3
R3306,F0906,V1054,Four wheeler,rate the cleanliness of your cab,1
R3306,F0906,V1054,Four wheeler,how was the drivers behavior,4
R3308,F0908,V1127,Four wheeler,rate the cleanliness of your cab,3
R3308,F0908,V1127,Four wheeler,how was the drivers behavior,1
R3309,F0909,V1168,Bike,rate the use of helmet of your driver,3
R3309,F0909,V1168,Bike,rate the friendliness of your driver,4
R3310,F0910,V0958,Auto,rate the cleanliness of your cab,4
R3310,F0910,V0958,Auto,how was the drivers behavior,1
R3311,F0911,V1421,Bike,rate the use of helmet of your driver,3
R3311,F0911,V1421,Bike,rate the friendliness of your driver,4
