c_id,c_code,c_discount%,c_pass_id,c_allocation_date,c_validity_date
C1467,CARDAXIS,15,P3122,2022-12-13,2022-12-21
C1468,CARDAXIS,15,P3624,2022-06-03,2022-06-09
C1469,OFF20,20,P2235,2022-12-27,2023-01-10
C1470,CARDAXIS,15,P2687,2022-02-03,2022-02-07
C1471,NEWOFF,5,P2418,2022-01-09,2022-01-10
C1472,OFF20,20,P2659,2022-06-27,2022-07-07
C1473,OFF20,20,P3135,2022-06-18,2022-06-28
C1474,OFF20,20,P2687,2022-12-28,2023-01-07
C1475,CARDAXIS,15,P2483,2022-12-30,2023-01-07
C1476,CARDAXIS,15,P2488,2022-11-30,2022-12-09
C1477,CARDAXIS,15,P3295,2022-01-25,2022-01-29
C1478,NEWOFF,5,P2746,2022-08-01,2022-08-03
C1479,OFF20,20,P3024,2022-12-02,2022-12-09
C1480,NEWOFF,5,P3088,2022-12-02,2022-12-04
C1481,OFF20,20,P3474,2022-09-08,2022-09-16
C1482,NEWOFF,5,P3213,2022-10-20,2022-10-22
C1483,NEWOFF,5,P2311,2022-01-12,2022-01-14
C1484,OFF20,20,P3588,2022-07-06,2022-07-11
C1485,NEWOFF,5,P3173,2022-10-02,2022-10-04
C1486,CARDAXIS,15,P2757,2022-11-19,2022-11-24
C1487,OFF20,20,P2629,2022-01-06,2022-01-14
C1488,CARDAXIS,15,P2750,2022-04-10,2022-04-17
C1489,CARDAXIS,15,P2952,2022-10-05,2022-10-10
C1490,OFF20,20,P3362,2022-08-05,2022-08-17
C1491,NEWOFF,5,P3405,2022-07-04,2022-07-06
C1492,OFF20,20,P3064,2022-12-20,2022-12-28
C1493,OFF20,20,P2577,2022-08-31,2022-09-06
C1494,CARDAXIS,15,P3643,2022-09-10,2022-09-16
C1495,OFF20,20,P3601,2022-02-06,2022-02-18
C1496,NEWOFF,5,P3362,2022-09-25,2022-09-27
C1497,CARDAXIS,15,P2693,2022-06-23,2022-07-01
C1498,CARDAXIS,15,P2966,2022-03-16,2022-03-22
C1499,NEWOFF,5,P2955,2022-03-30,2022-03-31
C1500,OFF20,20,P2675,2022-05-09,2022-05-16
C1501,OFF20,20,P3528,2022-06-25,2022-07-06
C1502,OFF20,20,P2341,2022-06-11,2022-06-24
C1503,OFF20,20,P2901,2022-09-09,2022-09-16
C1504,CARDAXIS,15,P3193,2022-02-23,2022-03-03
C1505,OFF20,20,P2786,2022-10-30,2022-11-12
C1506,CARDAXIS,15,P2706,2022-01-28,2022-01-31
C1507,NEWOFF,5,P3409,2022-10-21,2022-10-23
C1508,OFF20,20,P2318,2022-03-17,2022-03-25
C1509,OFF20,20,P2829,2022-07-12,2022-07-21
C1510,NEWOFF,5,P2765,2022-10-25,2022-10-26
C1511,CARDAXIS,15,P3661,2022-01-19,2022-01-25
C1512,CARDAXIS,15,P2907,2022-12-29,2023-01-02
C1513,CARDAXIS,15,P2987,2022-08-19,2022-08-25
C1514,OFF20,20,P3507,2022-06-26,2022-07-10
C1515,NEWOFF,5,P3265,2022-06-05,2022-06-06
C1516,NEWOFF,5,P3475,2022-06-24,2022-06-26
C1517,CARDAXIS,15,P3506,2022-02-02,2022-02-06
C1518,CARDAXIS,15,P3572,2022-11-30,2022-12-07
C1519,NEWOFF,5,P2862,2022-05-24,2022-05-26
C1520,NEWOFF,5,P3451,2022-01-17,2022-01-18
C1521,OFF20,20,P2877,2022-02-10,2022-02-19
C1522,NEWOFF,5,P2300,2022-08-29,2022-08-30
C1523,CARDAXIS,15,P2470,2022-01-29,2022-02-06
C1524,OFF20,20,P2814,2022-11-24,2022-12-07
C1525,OFF20,20,P2554,2022-04-12,2022-04-20
C1526,NEWOFF,5,P2483,2022-04-18,2022-04-20
C1527,CARDAXIS,15,P2430,2022-10-16,2022-10-25
C1528,OFF20,20,P2769,2022-12-24,2022-12-29
C1529,NEWOFF,5,P2514,2022-09-22,2022-09-23
C1530,CARDAXIS,15,P3045,2022-02-21,2022-02-24
C1531,CARDAXIS,15,P2824,2022-07-03,2022-07-10
C1532,CARDAXIS,15,P2574,2022-02-20,2022-02-23
C1533,CARDAXIS,15,P3032,2022-09-03,2022-09-09
C1534,OFF20,20,P2769,2022-07-10,2022-07-23
C1535,CARDAXIS,15,P3653,2022-12-20,2022-12-27
C1536,OFF20,20,P2357,2022-01-14,2022-01-22
C1537,CARDAXIS,15,P3494,2022-08-28,2022-09-04
C1538,NEWOFF,5,P2722,2022-11-21,2022-11-22
C1539,NEWOFF,5,P2296,2022-11-13,2022-11-14
C1540,CARDAXIS,15,P2795,2022-10-29,2022-11-06
C1541,CARDAXIS,15,P2458,2022-12-09,2022-12-12
C1542,CARDAXIS,15,P2878,2022-08-07,2022-08-14
C1543,OFF20,20,P3326,2022-01-18,2022-01-26
C1544,NEWOFF,5,P2246,2022-06-19,2022-06-21
C1545,CARDAXIS,15,P3579,2022-03-04,2022-03-08
C1546,NEWOFF,5,P2602,2022-10-31,2022-11-01
C1547,CARDAXIS,15,P2316,2022-12-20,2022-12-26
C1548,NEWOFF,5,P3074,2022-11-28,2022-11-29
C1549,NEWOFF,5,P2407,2022-09-13,2022-09-15
C1550,OFF20,20,P3522,2022-05-06,2022-05-12
C1551,NEWOFF,5,P3190,2022-03-17,2022-03-19
C1552,CARDAXIS,15,P2902,2022-12-05,2022-12-12
C1553,CARDAXIS,15,P2758,2022-09-11,2022-09-20
C1554,NEWOFF,5,P2434,2022-10-25,2022-10-26
C1555,CARDAXIS,15,P2336,2022-04-23,2022-04-27
C1556,CARDAXIS,15,P2887,2022-10-16,2022-10-25
C1557,CARDAXIS,15,P2447,2022-12-14,2022-12-19
C1558,NEWOFF,5,P2944,2022-11-02,2022-11-04
C1559,OFF20,20,P3580,2022-08-12,2022-08-20
C1560,OFF20,20,P3158,2022-07-08,2022-07-15
C1561,NEWOFF,5,P2571,2022-10-25,2022-10-26
C1562,OFF20,20,P2492,2022-09-26,2022-10-04
C1563,CARDAXIS,15,P2816,2022-03-13,2022-03-20
C1564,NEWOFF,5,P3404,2022-09-09,2022-09-10
C1565,NEWOFF,5,P2572,2022-08-19,2022-08-20
C1566,NEWOFF,5,P2837,2022-11-07,2022-11-08
C1567,CARDAXIS,15,P2217,2022-02-12,2022-02-19
C1568,CARDAXIS,15,P3261,2022-05-30,2022-06-06
C1569,CARDAXIS,15,P3689,2022-06-13,2022-06-18
C1570,CARDAXIS,15,P3528,2022-10-28,2022-11-05
C1571,NEWOFF,5,P2346,2022-04-26,2022-04-27
C1572,NEWOFF,5,P3453,2022-10-22,2022-10-23
C1573,CARDAXIS,15,P3447,2022-07-03,2022-07-10
C1574,NEWOFF,5,P2955,2022-02-05,2022-02-06
C1575,OFF20,20,P3631,2022-01-10,2022-01-17
C1576,OFF20,20,P2867,2022-08-18,2022-08-23
C1577,CARDAXIS,15,P3559,2022-01-08,2022-01-12
C1578,CARDAXIS,15,P2779,2022-10-02,2022-10-07
C1579,OFF20,20,P2309,2022-10-27,2022-11-09
C1580,CARDAXIS,15,P2597,2022-06-24,2022-06-28
C1581,CARDAXIS,15,P2726,2022-10-20,2022-10-28
C1582,NEWOFF,5,P3544,2022-12-21,2022-12-22
C1583,CARDAXIS,15,P3004,2022-06-19,2022-06-25
C1584,OFF20,20,P2463,2022-06-29,2022-07-05
C1585,OFF20,20,P3649,2022-02-16,2022-03-02
C1586,OFF20,20,P2912,2022-03-27,2022-04-06
C1587,NEWOFF,5,P2621,2022-05-27,2022-05-29
C1588,NEWOFF,5,P2562,2022-12-19,2022-12-21
C1589,CARDAXIS,15,P2943,2022-05-16,2022-05-22
C1590,NEWOFF,5,P3450,2022-06-11,2022-06-12
C1591,OFF20,20,P2229,2022-03-29,2022-04-06
C1592,NEWOFF,5,P2743,2022-01-31,2022-02-01
C1593,OFF20,20,P3266,2022-05-14,2022-05-19
C1594,NEWOFF,5,P3058,2022-05-18,2022-05-19
C1595,CARDAXIS,15,P3615,2022-08-30,2022-09-07
C1596,CARDAXIS,15,P2956,2022-05-19,2022-05-24
C1597,OFF20,20,P3016,2022-09-25,2022-10-04
C1598,OFF20,20,P2256,2022-11-17,2022-11-29
C1599,NEWOFF,5,P2494,2022-08-26,2022-08-28
C1600,CARDAXIS,15,P2600,2022-04-14,2022-04-17
C1601,NEWOFF,5,P2297,2022-01-12,2022-01-13
C1602,CARDAXIS,15,P3515,2022-02-11,2022-02-18
C1603,CARDAXIS,15,P3535,2022-02-14,2022-02-20
C1604,OFF20,20,P3657,2022-09-15,2022-09-24
C1605,CARDAXIS,15,P3263,2022-10-22,2022-10-26
C1606,NEWOFF,5,P2205,2022-03-10,2022-03-12
C1607,NEWOFF,5,P2291,2022-04-26,2022-04-27
C1608,CARDAXIS,15,P2236,2022-02-16,2022-02-25
C1609,OFF20,20,P3071,2022-06-24,2022-07-01
C1610,OFF20,20,P2250,2022-06-26,2022-07-05
C1611,CARDAXIS,15,P3556,2022-10-24,2022-10-29
C1612,NEWOFF,5,P3074,2022-09-27,2022-09-29
C1613,NEWOFF,5,P3086,2022-01-22,2022-01-23
C1614,NEWOFF,5,P3127,2022-01-04,2022-01-06
C1615,NEWOFF,5,P3678,2022-08-27,2022-08-29
C1616,NEWOFF,5,P3680,2022-02-24,2022-02-25
C1617,OFF20,20,P3404,2022-05-24,2022-06-05
C1618,CARDAXIS,15,P3404,2022-08-26,2022-09-02
C1619,NEWOFF,5,P2691,2022-10-18,2022-10-19
C1620,CARDAXIS,15,P2853,2022-03-05,2022-03-09
C1621,CARDAXIS,15,P3587,2022-05-22,2022-05-28
C1622,CARDAXIS,15,P3321,2022-12-26,2022-12-29
C1623,CARDAXIS,15,P3348,2022-09-14,2022-09-20
C1624,OFF20,20,P2910,2022-10-28,2022-11-06
C1625,CARDAXIS,15,P2640,2022-06-13,2022-06-17
C1626,NEWOFF,5,P2658,2022-03-28,2022-03-30
C1627,OFF20,20,P2616,2022-09-15,2022-09-25
C1628,CARDAXIS,15,P3263,2022-04-19,2022-04-27
C1629,CARDAXIS,15,P2503,2022-05-04,2022-05-11
C1630,OFF20,20,P2244,2022-09-29,2022-10-08
C1631,NEWOFF,5,P3454,2022-11-23,2022-11-25
C1632,NEWOFF,5,P3485,2022-11-19,2022-11-21
C1633,NEWOFF,5,P3698,2022-10-19,2022-10-20
C1634,CARDAXIS,15,P2492,2022-09-27,2022-09-30
C1635,OFF20,20,P3237,2022-04-14,2022-04-25
C1636,OFF20,20,P3639,2022-10-24,2022-11-07
C1637,OFF20,20,P3099,2022-06-25,2022-07-07
C1638,OFF20,20,P3498,2022-09-16,2022-09-27
C1639,NEWOFF,5,P2480,2022-01-24,2022-01-25
C1640,CARDAXIS,15,P3599,2022-02-08,2022-02-11
C1641,NEWOFF,5,P2794,2022-06-21,2022-06-23
C1642,CARDAXIS,15,P3588,2022-05-12,2022-05-15
C1643,CARDAXIS,15,P2750,2022-06-01,2022-06-09
C1644,CARDAXIS,15,P3522,2022-05-10,2022-05-13
C1645,OFF20,20,P2489,2022-01-28,2022-02-04
C1646,OFF20,20,P2444,2022-01-14,2022-01-26
C1647,CARDAXIS,15,P3593,2022-10-15,2022-10-23
C1648,NEWOFF,5,P3141,2022-06-03,2022-06-05
C1649,OFF20,20,P3502,2022-06-30,2022-07-07
C1650,OFF20,20,P2347,2022-03-21,2022-03-28
C1651,OFF20,20,P2866,2022-10-20,2022-11-01
C1652,OFF20,20,P2210,2022-03-07,2022-03-20
C1653,CARDAXIS,15,P3588,2022-04-15,2022-04-24
C1654,NEWOFF,5,P2441,2022-04-13,2022-04-14
C1655,CARDAXIS,15,P3170,2022-08-18,2022-08-27
C1656,OFF20,20,P2684,2022-11-09,2022-11-21
C1657,CARDAXIS,15,P3570,2022-05-27,2022-06-05
C1658,NEWOFF,5,P2733,2022-08-03,2022-08-04
C1659,CARDAXIS,15,P2250,2022-08-19,2022-08-24
C1660,CARDAXIS,15,P2415,2022-10-28,2022-10-31
C1661,OFF20,20,P3214,2022-01-20,2022-01-26
C1662,OFF20,20,P2722,2022-08-05,2022-08-16
C1663,NEWOFF,5,P3604,2022-06-07,2022-06-08
C1664,NEWOFF,5,P2463,2022-10-28,2022-10-29
C1665,NEWOFF,5,P3286,2022-06-21,2022-06-23
C1666,CARDAXIS,15,P2327,2022-02-06,2022-02-10
C1667,NEWOFF,5,P2697,2022-08-11,2022-08-13
C1668,OFF20,20,P3474,2022-03-25,2022-04-04
C1669,OFF20,20,P3275,2022-01-23,2022-01-31
C1670,CARDAXIS,15,P2713,2022-08-08,2022-08-15
C1671,NEWOFF,5,P3092,2022-10-25,2022-10-26
C1672,CARDAXIS,15,P3377,2022-02-07,2022-02-16
C1673,CARDAXIS,15,P3129,2022-09-19,2022-09-23
C1674,CARDAXIS,15,P2875,2022-05-27,2022-06-05
C1675,OFF20,20,P2998,2022-03-22,2022-03-29
C1676,CARDAXIS,15,P2453,2022-04-15,2022-04-20
C1677,NEWOFF,5,P2446,2022-11-11,2022-11-12
C1678,OFF20,20,P3219,2022-06-14,2022-06-28
C1679,OFF20,20,P3375,2022-05-09,2022-05-22
C1680,CARDAXIS,15,P3283,2022-10-15,2022-10-19
C1681,NEWOFF,5,P3185,2022-09-23,2022-09-24
C1682,CARDAXIS,15,P2922,2022-01-21,2022-01-26
C1683,NEWOFF,5,P3350,2022-05-10,2022-05-11
C1684,OFF20,20,P2932,2022-10-11,2022-10-18
C1685,NEWOFF,5,P2264,2022-07-31,2022-08-02
C1686,OFF20,20,P2450,2022-12-17,2022-12-22
C1687,NEWOFF,5,P3495,2022-01-24,2022-01-25
C1688,NEWOFF,5,P3493,2022-05-26,2022-05-27
C1689,CARDAXIS,15,P2760,2022-01-04,2022-01-07
C1690,NEWOFF,5,P3109,2022-12-22,2022-12-23
C1691,CARDAXIS,15,P3428,2022-07-19,2022-07-24
C1692,NEWOFF,5,P3615,2022-03-01,2022-03-02
C1693,CARDAXIS,15,P2567,2022-04-10,2022-04-19
C1694,CARDAXIS,15,P2273,2022-03-04,2022-03-12
C1695,CARDAXIS,15,P3218,2022-06-05,2022-06-09
C1696,CARDAXIS,15,P3418,2022-08-10,2022-08-17
C1697,CARDAXIS,15,P3105,2022-12-16,2022-12-19
C1698,OFF20,20,P2924,2022-02-21,2022-02-27
C1699,OFF20,20,P3477,2022-07-10,2022-07-16
C1700,NEWOFF,5,P2346,2022-01-28,2022-01-30
C1701,CARDAXIS,15,P2856,2022-08-20,2022-08-24
C1702,CARDAXIS,15,P2387,2022-03-30,2022-04-02
C1703,CARDAXIS,15,P2394,2022-09-06,2022-09-13
C1704,NEWOFF,5,P2342,2022-04-21,2022-04-22
C1705,OFF20,20,P3421,2022-03-07,2022-03-20
C1706,OFF20,20,P3146,2022-08-27,2022-09-02
C1707,OFF20,20,P3129,2022-12-30,2023-01-08
C1708,CARDAXIS,15,P3131,2022-09-03,2022-09-08
C1709,CARDAXIS,15,P2521,2022-03-04,2022-03-09
C1710,CARDAXIS,15,P2727,2022-07-11,2022-07-15
C1711,CARDAXIS,15,P2751,2022-06-28,2022-07-06
C1712,NEWOFF,5,P3286,2022-05-08,2022-05-09
C1713,NEWOFF,5,P3591,2022-04-27,2022-04-29
C1714,NEWOFF,5,P3533,2022-08-28,2022-08-30
C1715,CARDAXIS,15,P3499,2022-04-14,2022-04-22
C1716,OFF20,20,P3347,2022-10-01,2022-10-11
C1717,OFF20,20,P2966,2022-02-21,2022-03-06
C1718,CARDAXIS,15,P2343,2022-01-09,2022-01-16
C1719,CARDAXIS,15,P2987,2022-01-15,2022-01-21
C1720,OFF20,20,P3694,2022-03-24,2022-04-05
C1721,CARDAXIS,15,P2500,2022-02-20,2022-02-27
C1722,CARDAXIS,15,P3246,2022-02-03,2022-02-06
C1723,CARDAXIS,15,P3218,2022-06-20,2022-06-26
C1724,CARDAXIS,15,P3340,2022-04-19,2022-04-27
C1725,NEWOFF,5,P3418,2022-02-11,2022-02-13
C1726,OFF20,20,P2426,2022-06-21,2022-06-27
C1727,OFF20,20,P2547,2022-11-26,2022-12-05
C1728,OFF20,20,P2632,2022-12-13,2022-12-25
C1729,CARDAXIS,15,P3265,2022-08-04,2022-08-13
C1730,NEWOFF,5,P3130,2022-08-03,2022-08-04
C1731,CARDAXIS,15,P3201,2022-02-16,2022-02-19
C1732,OFF20,20,P2450,2022-06-28,2022-07-08
C1733,CARDAXIS,15,P3534,2022-01-13,2022-01-19
C1734,CARDAXIS,15,P2753,2022-09-01,2022-09-10
C1735,CARDAXIS,15,P2689,2022-09-20,2022-09-27
C1736,CARDAXIS,15,P2570,2022-02-04,2022-02-11
C1737,CARDAXIS,15,P2420,2022-01-02,2022-01-09
C1738,NEWOFF,5,P3680,2022-09-24,2022-09-25
C1739,CARDAXIS,15,P2684,2022-12-10,2022-12-14
C1740,CARDAXIS,15,P3206,2022-08-31,2022-09-08
C1741,CARDAXIS,15,P3348,2022-02-06,2022-02-15
C1742,CARDAXIS,15,P2731,2022-12-16,2022-12-20
C1743,OFF20,20,P2929,2022-06-12,2022-06-26
C1744,NEWOFF,5,P2493,2022-09-03,2022-09-04
C1745,OFF20,20,P3474,2022-06-03,2022-06-10
C1746,NEWOFF,5,P2574,2022-08-10,2022-08-12
C1747,CARDAXIS,15,P3174,2022-03-03,2022-03-11
C1748,OFF20,20,P2936,2022-05-23,2022-06-02
C1749,OFF20,20,P2603,2022-05-27,2022-06-10
C1750,OFF20,20,P3086,2022-11-24,2022-12-03
C1751,NEWOFF,5,P3415,2022-10-05,2022-10-06
C1752,NEWOFF,5,P2864,2022-05-03,2022-05-05
C1753,NEWOFF,5,P2376,2022-05-28,2022-05-30
C1754,OFF20,20,P2688,2022-02-17,2022-03-03
C1755,CARDAXIS,15,P2471,2022-11-22,2022-11-28
C1756,NEWOFF,5,P3272,2022-06-14,2022-06-16
C1757,OFF20,20,P3130,2022-05-14,2022-05-25
C1758,NEWOFF,5,P2919,2022-06-07,2022-06-08
C1759,CARDAXIS,15,P3180,2022-03-08,2022-03-17
C1760,NEWOFF,5,P3353,2022-02-03,2022-02-05
C1761,NEWOFF,5,P2963,2022-03-16,2022-03-17
C1762,CARDAXIS,15,P3252,2022-05-27,2022-06-05
C1763,OFF20,20,P2632,2022-09-06,2022-09-18
C1764,OFF20,20,P2845,2022-07-21,2022-07-26
C1765,OFF20,20,P2950,2022-10-31,2022-11-06
C1766,OFF20,20,P2787,2022-04-10,2022-04-20
C1767,NEWOFF,5,P2204,2022-04-11,2022-04-13
C1768,CARDAXIS,15,P2592,2022-09-10,2022-09-15
C1769,CARDAXIS,15,P2370,2022-11-04,2022-11-13
C1770,OFF20,20,P3366,2022-04-15,2022-04-28
C1771,CARDAXIS,15,P2474,2022-04-19,2022-04-23
C1772,NEWOFF,5,P2569,2022-10-26,2022-10-28
C1773,OFF20,20,P2950,2022-01-22,2022-01-30
C1774,CARDAXIS,15,P2756,2022-09-27,2022-10-04
C1775,CARDAXIS,15,P3561,2022-01-05,2022-01-11
C1776,OFF20,20,P3656,2022-06-08,2022-06-18
C1777,OFF20,20,P2488,2022-11-10,2022-11-20
C1778,OFF20,20,P2964,2022-03-12,2022-03-26
C1779,CARDAXIS,15,P3420,2022-01-29,2022-02-07
C1780,CARDAXIS,15,P3152,2022-06-02,2022-06-08
C1781,CARDAXIS,15,P2903,2022-12-16,2022-12-23
C1782,CARDAXIS,15,P3567,2022-06-20,2022-06-29
C1783,NEWOFF,5,P3057,2022-07-01,2022-07-03
C1784,CARDAXIS,15,P3250,2022-11-26,2022-11-30
C1785,OFF20,20,P3303,2022-11-30,2022-12-08
C1786,CARDAXIS,15,P2862,2022-03-01,2022-03-04
C1787,OFF20,20,P2802,2022-08-21,2022-08-27
C1788,CARDAXIS,15,P3116,2022-07-30,2022-08-02
C1789,NEWOFF,5,P2254,2022-12-21,2022-12-23
C1790,CARDAXIS,15,P3530,2022-07-19,2022-07-26
C1791,CARDAXIS,15,P3548,2022-11-14,2022-11-23
C1792,CARDAXIS,15,P3519,2022-12-11,2022-12-19
C1793,CARDAXIS,15,P3163,2022-10-14,2022-10-18
C1794,NEWOFF,5,P2503,2022-06-04,2022-06-06
C1795,OFF20,20,P2513,2022-11-17,2022-11-28
C1796,CARDAXIS,15,P2366,2022-05-07,2022-05-13
C1797,CARDAXIS,15,P2719,2022-09-15,2022-09-19
C1798,OFF20,20,P2503,2022-03-17,2022-03-28
C1799,CARDAXIS,15,P2397,2022-09-08,2022-09-13
C1800,NEWOFF,5,P2967,2022-07-03,2022-07-05
C1801,NEWOFF,5,P2513,2022-08-08,2022-08-09
C1802,CARDAXIS,15,P3363,2022-02-03,2022-02-06
C1803,NEWOFF,5,P3214,2022-09-08,2022-09-10
C1804,NEWOFF,5,P3415,2022-12-20,2022-12-22
C1805,OFF20,20,P2424,2022-10-18,2022-10-29
C1806,CARDAXIS,15,P3278,2022-04-10,2022-04-13
C1807,NEWOFF,5,P2807,2022-03-18,2022-03-20
C1808,OFF20,20,P3305,2022-06-03,2022-06-17
C1809,CARDAXIS,15,P3416,2022-08-28,2022-08-31
C1810,OFF20,20,P2596,2022-08-08,2022-08-19
C1811,CARDAXIS,15,P2591,2022-03-15,2022-03-23
C1812,CARDAXIS,15,P3678,2022-03-20,2022-03-24
C1813,CARDAXIS,15,P2919,2022-02-07,2022-02-10
C1814,OFF20,20,P3324,2022-03-13,2022-03-25
C1815,OFF20,20,P3046,2022-09-05,2022-09-13
C1816,CARDAXIS,15,P3699,2022-01-07,2022-01-13
C1817,CARDAXIS,15,P2998,2022-04-16,2022-04-21
C1818,CARDAXIS,15,P3041,2022-03-15,2022-03-22
C1819,NEWOFF,5,P2831,2022-04-17,2022-04-19
C1820,CARDAXIS,15,P3605,2022-12-19,2022-12-23
C1821,OFF20,20,P3037,2022-02-02,2022-02-10
C1822,OFF20,20,P3036,2022-03-03,2022-03-16
C1823,NEWOFF,5,P3661,2022-06-01,2022-06-03
C1824,OFF20,20,P2442,2022-09-08,2022-09-14
C1825,CARDAXIS,15,P2830,2022-04-08,2022-04-16
C1826,NEWOFF,5,P3431,2022-12-05,2022-12-07
C1827,NEWOFF,5,P3307,2022-02-01,2022-02-02
C1828,OFF20,20,P3477,2022-07-20,2022-07-25
C1829,CARDAXIS,15,P2231,2022-07-04,2022-07-12
C1830,NEWOFF,5,P3070,2022-07-07,2022-07-08
C1831,CARDAXIS,15,P2847,2022-10-14,2022-10-20
C1832,NEWOFF,5,P2542,2022-07-11,2022-07-12
C1833,OFF20,20,P2976,2022-03-20,2022-03-29
C1834,OFF20,20,P3240,2022-08-08,2022-08-13
C1835,CARDAXIS,15,P3345,2022-11-18,2022-11-24
C1836,NEWOFF,5,P3093,2022-02-14,2022-02-15
C1837,CARDAXIS,15,P2247,2022-01-07,2022-01-10
C1838,OFF20,20,P3121,2022-11-20,2022-11-26
C1839,OFF20,20,P2997,2022-07-16,2022-07-27
C1840,NEWOFF,5,P2793,2022-08-27,2022-08-28
C1841,NEWOFF,5,P3106,2022-07-12,2022-07-13
C1842,OFF20,20,P2682,2022-03-19,2022-03-26
C1843,CARDAXIS,15,P2672,2022-02-08,2022-02-17
C1844,NEWOFF,5,P3268,2022-01-25,2022-01-27
C1845,NEWOFF,5,P3075,2022-08-18,2022-08-19
C1846,CARDAXIS,15,P2830,2022-02-11,2022-02-14
C1847,OFF20,20,P3282,2022-02-14,2022-02-21
C1848,OFF20,20,P2541,2022-06-07,2022-06-17
C1849,OFF20,20,P2940,2022-12-15,2022-12-20
C1850,CARDAXIS,15,P2635,2022-09-30,2022-10-09
C1851,NEWOFF,5,P3315,2022-09-25,2022-09-27
C1852,CARDAXIS,15,P3511,2022-02-08,2022-02-14
